method,classifier,C,gamma,seed,fold,OA,macro_F1,kappa
SNV,rbf_svm,10.000000,0.1,42,2,0.897436,0.914174,0.870000
SNV,rbf_svm,10.000000,1,42,2,0.641026,0.515741,0.521472
SNV,rbf_svm,10.000000,10,42,2,0.307692,0.105133,0.036597
SNV,rbf_svm,100.000000,0.001,42,2,0.948718,0.955514,0.936327
SNV,rbf_svm,100.000000,0.01,42,2,0.948718,0.960925,0.936013
SNV,rbf_svm,100.000000,0.1,42,2,0.897436,0.914174,0.870000
SNV,rbf_svm,100.000000,1,42,2,0.641026,0.515741,0.521472
SNV,rbf_svm,100.000000,10,42,2,0.307692,0.105133,0.036597
USP,svm,0.010000,scale,42,3,0.894737,0.896675,0.867826
USP,svm,0.100000,scale,42,3,0.973684,0.978408,0.966957
USP,svm,1.000000,scale,42,3,0.973684,0.978408,0.966957
USP,svm,10.000000,scale,42,3,0.973684,0.978408,0.966957
USP,svm,100.000000,scale,42,3,0.973684,0.978408,0.966957
USP,rbf_svm,0.100000,0.001,42,3,0.078947,0.024390,0.000000
USP,rbf_svm,0.100000,0.01,42,3,0.421053,0.357011,0.330665
USP,rbf_svm,0.100000,0.1,42,3,0.842105,0.843000,0.806122
USP,rbf_svm,0.100000,1,42,3,0.289474,0.331441,0.188933
USP,rbf_svm,0.100000,10,42,3,0.078947,0.024390,0.000000
USP,rbf_svm,1.000000,0.001,42,3,0.394737,0.317104,0.292880
USP,rbf_svm,1.000000,0.01,42,3,0.947368,0.957672,0.934142
USP,rbf_svm,1.000000,0.1,42,3,0.947368,0.946703,0.933566
USP,rbf_svm,1.000000,1,42,3,0.894737,0.883333,0.865009
USP,rbf_svm,1.000000,10,42,3,0.473684,0.354167,0.292365
USP,rbf_svm,10.000000,0.001,42,3,0.947368,0.957672,0.934142
USP,rbf_svm,10.000000,0.01,42,3,0.973684,0.978408,0.966957
USP,rbf_svm,10.000000,0.1,42,3,0.947368,0.946703,0.933566
USP,rbf_svm,10.000000,1,42,3,0.894737,0.883333,0.865009
USP,rbf_svm,10.000000,10,42,3,0.473684,0.296296,0.285714
USP,rbf_svm,100.000000,0.001,42,3,0.973684,0.978408,0.966957
USP,rbf_svm,100.000000,0.01,42,3,0.973684,0.978408,0.966957
USP,rbf_svm,100.000000,0.1,42,3,0.947368,0.946703,0.933566
USP,rbf_svm,100.000000,1,42,3,0.894737,0.883333,0.865009
USP,rbf_svm,100.000000,10,42,3,0.473684,0.296296,0.285714
SNV,svm,0.010000,scale,42,3,0.842105,0.819377,0.804460
SNV,svm,0.100000,scale,42,3,0.947368,0.946662,0.934370
SNV,svm,1.000000,scale,42,3,0.947368,0.951953,0.934313
SNV,svm,10.000000,scale,42,3,0.947368,0.951953,0.934313
SNV,svm,100.000000,scale,42,3,0.947368,0.951953,0.934313
SNV,rbf_svm,0.100000,0.001,42,3,0.078947,0.024390,0.000000
SNV,rbf_svm,0.100000,0.01,42,3,0.078947,0.024390,0.000000
SNV,rbf_svm,0.100000,0.1,42,3,0.552632,0.610026,0.487302
SNV,rbf_svm,0.100000,1,42,3,0.078947,0.024390,0.000000
SNV,rbf_svm,0.100000,10,42,3,0.078947,0.024390,0.000000
SNV,rbf_svm,1.000000,0.001,42,3,0.289474,0.163420,0.055249
SNV,rbf_svm,1.000000,0.01,42,3,0.894737,0.864693,0.868056
SNV,rbf_svm,1.000000,0.1,42,3,0.947368,0.952277,0.933275
SNV,rbf_svm,1.000000,1,42,3,0.526316,0.428175,0.352886
SNV,rbf_svm,1.000000,10,42,3,0.263158,0.069444,0.000000
SNV,rbf_svm,10.000000,0.001,42,3,0.894737,0.864693,0.868056
SNV,rbf_svm,10.000000,0.01,42,3,0.973684,0.978408,0.966957
SNV,rbf_svm,10.000000,0.1,42,3,0.947368,0.952277,0.933275
SNV,rbf_svm,10.000000,1,42,3,0.526316,0.428175,0.352886
SNV,rbf_svm,10.000000,10,42,3,0.315789,0.106692,0.037975
SNV,rbf_svm,100.000000,0.001,42,3,0.947368,0.951953,0.934313
SNV,rbf_svm,100.000000,0.01,42,3,0.973684,0.983982,0.966812
SNV,rbf_svm,100.000000,0.1,42,3,0.921053,0.930483,0.899471
SNV,rbf_svm,100.000000,1,42,3,0.526316,0.428175,0.352886
SNV,rbf_svm,100.000000,10,42,3,0.315789,0.106692,0.037975
USP,svm,0.010000,scale,42,4,0.763158,0.793838,0.709924
USP,svm,0.100000,scale,42,4,0.947368,0.959524,0.934256
USP,svm,1.000000,scale,42,4,0.973684,0.979243,0.966985
USP,svm,10.000000,scale,42,4,1.000000,1.000000,1.000000
USP,svm,100.000000,scale,42,4,1.000000,1.000000,1.000000
USP,rbf_svm,0.100000,0.001,42,4,0.184211,0.103486,0.075353
USP,rbf_svm,0.100000,0.01,42,4,0.263158,0.172222,0.144695
USP,rbf_svm,0.100000,0.1,42,4,0.815789,0.836202,0.773810
USP,rbf_svm,0.100000,1,42,4,0.368421,0.246377,0.131429
USP,rbf_svm,0.100000,10,42,4,0.289474,0.074830,0.000000
USP,rbf_svm,1.000000,0.001,42,4,0.526316,0.375219,0.378182
USP,rbf_svm,1.000000,0.01,42,4,0.842105,0.875319,0.804962
USP,rbf_svm,1.000000,0.1,42,4,0.921053,0.932233,0.901893
USP,rbf_svm,1.000000,1,42,4,0.947368,0.962188,0.933333
USP,rbf_svm,1.000000,10,42,4,0.552632,0.494811,0.394564
USP,rbf_svm,10.000000,0.001,42,4,0.868421,0.902496,0.836629
USP,rbf_svm,10.000000,0.01,42,4,0.947368,0.959524,0.934256
USP,rbf_svm,10.000000,0.1,42,4,0.973684,0.983982,0.966812
USP,rbf_svm,10.000000,1,42,4,0.947368,0.962188,0.933333
USP,rbf_svm,10.000000,10,42,4,0.578947,0.439084,0.424242
USP,rbf_svm,100.000000,0.001,42,4,0.947368,0.959524,0.934256
USP,rbf_svm,100.000000,0.01,42,4,1.000000,1.000000,1.000000
USP,rbf_svm,100.000000,0.1,42,4,0.973684,0.983982,0.966812
USP,rbf_svm,100.000000,1,42,4,0.947368,0.962188,0.933333
USP,rbf_svm,100.000000,10,42,4,0.578947,0.439084,0.424242
SNV,svm,0.010000,scale,42,4,0.842105,0.864035,0.804292
SNV,svm,0.100000,scale,42,4,0.894737,0.913060,0.869751
SNV,svm,1.000000,scale,42,4,0.921053,0.932233,0.901893
SNV,svm,10.000000,scale,42,4,0.947368,0.949663,0.933798
SNV,svm,100.000000,scale,42,4,0.947368,0.949663,0.933798
SNV,rbf_svm,0.100000,0.001,42,4,0.368421,0.180340,0.163303
SNV,rbf_svm,0.100000,0.01,42,4,0.368421,0.175000,0.169399
SNV,rbf_svm,0.100000,0.1,42,4,0.868421,0.861291,0.830660
SNV,rbf_svm,0.100000,1,42,4,0.368421,0.246377,0.131429
SNV,rbf_svm,0.100000,10,42,4,0.289474,0.074830,0.000000
SNV,rbf_svm,1.000000,0.001,42,4,0.289474,0.074830,0.000000
SNV,rbf_svm,1.000000,0.01,42,4,0.868421,0.882895,0.836207
SNV,rbf_svm,1.000000,0.1,42,4,0.921053,0.920910,0.900956
SNV,rbf_svm,1.000000,1,42,4,0.552632,0.505368,0.407883
SNV,rbf_svm,1.000000,10,42,4,0.289474,0.074830,0.000000
SNV,rbf_svm,10.000000,0.001,42,4,0.868421,0.882895,0.836207
SNV,rbf_svm,10.000000,0.01,42,4,0.921053,0.932233,0.901893
