ratio,method,ID_mean,ID_std,OOD-Turbid_mean,OOD-Turbid_std,OOD-Foamy_mean,OOD-Foamy_std,ID-IllumShift_mean,ID-IllumShift_std,ID-SensorDrift_mean,ID-SensorDrift_std,ID-BandShift_mean,ID-BandShift_std,OOD-IllumShift_mean,OOD-IllumShift_std,OOD-SensorDrift_mean,OOD-SensorDrift_std,OOD-BandShift_mean,OOD-BandShift_std
0.15,A2: Global TruncSVD (SNV-Pre),0.8663427800269906,0.0636856723310226,0.8985601799775028,0.031472610803991226,0.8227755102040817,0.046216267232811116,0.8642645074224022,0.0616436185728932,0.29924426450742236,0.15793331477920938,0.5420242914979757,0.13526764323042245,0.8966604174478191,0.031088345284911247,0.3711761029871266,0.12672762159854645,0.5974578177727784,0.11372857805618801
0.15,"A3*: Global TruncSVD (MSC-Pre, Centered)",0.7834008097165992,0.058339762553437584,0.8753955755530559,0.03498903125568045,0.8137959183673469,0.046840921366686175,0.7834008097165992,0.058339762553437584,0.26515519568151147,0.14602343539607687,0.48199730094466936,0.11828700442234542,0.8753955755530559,0.03498903125568045,0.3141557305336833,0.08862369597601033,0.5600649918760154,0.10347471978983862
0.15,A3: Global TruncSVD (MSC-Pre),0.7886909581646424,0.05763693206743695,0.8750806149231346,0.034847392410561194,0.8130122448979591,0.04852014098941442,0.7886909581646424,0.05763693206743695,0.24847503373819163,0.13953509694114538,0.5015114709851551,0.11309799375983032,0.8750806149231346,0.034847392410561194,0.31479065116860394,0.10661132634106671,0.5846969128858892,0.10535000791617363
0.15,A: Global TruncSVD,0.9213495276653171,0.03747323488367847,0.9144231971003625,0.033629464460820185,0.8878530612244897,0.05100711119243761,0.915114709851552,0.038322189974303346,0.605748987854251,0.18134725433599783,0.8798920377867746,0.05365221162038145,0.9131558555180602,0.034893562931023164,0.6241544806899137,0.08886566363326806,0.8871516060492438,0.04300795315363277
0.15,A_L2: L2 row norm (no SNV),0.9214035087719299,0.03827469591845222,0.9043094613173354,0.036657320993729495,0.8544816326530612,0.049950985277249386,0.9151686909581646,0.03535837599171875,0.30299595141700403,0.13383895403988713,0.6197570850202428,0.17963732351429187,0.9027246594175727,0.0368463309193665,0.33549056367954,0.10701946945221608,0.5527809023872016,0.16228011122649924
0.15,A_drop1: Drop PC1 (PC2–PC20),0.9234547908232119,0.04434704446845298,0.8992000999875016,0.03889015886313384,0.846334693877551,0.05097754934553186,0.9172199730094467,0.04348638706242003,0.520080971659919,0.18302362907184686,0.8510391363022941,0.061003738357629414,0.8973003374578178,0.03962116869057114,0.5543957005374328,0.10638039217711563,0.8291863517060368,0.06978762250350604
0.15,A_drop1_scale: Drop PC1 + Scale (no SNV),0.7783265856950068,0.05154113649507822,0.7746206724159479,0.04987167074458414,0.762595918367347,0.05906789989965918,0.7470715249662618,0.06616834973806862,0.19802968960863698,0.12840150573076345,0.37303643724696356,0.12549317551597558,0.7587976502937133,0.04638524354443689,0.1911286089238845,0.06183561545999665,0.31597550306211725,0.10222186397980863
0.15,F: PLS-DA,0.7884210526315789,0.051663178756342104,0.7708336457942757,0.04846185718113979,0.755330612244898,0.06355945225194926,0.7842914979757084,0.04885740591566322,0.37093117408906884,0.06807971385826964,0.7739541160593792,0.06344933163129626,0.7705136857892764,0.04802305895783282,0.4187226596675416,0.06006268222913684,0.7692488438945132,0.050606719687888504
0.2,A*: Global TruncSVD (Centered),0.809527665317139,0.07768959350886298,0.7866966629171354,0.03857352594429701,0.7691265306122449,0.08129751614150854,0.7763832658569502,0.07704432048332983,0.7505263157894737,0.08346356752901987,0.8012685560053981,0.08451851795773235,0.7546706661667293,0.04510819781365917,0.7305736782902137,0.06365087060177783,0.7797350331208599,0.041893340805516856
0.2,"A2*: Global TruncSVD (SNV-Pre, Centered)",0.8819973009446694,0.0627216847371658,0.9099812523434571,0.02939918268189951,0.8366367346938776,0.040654317932656114,0.8788663967611337,0.059854353898125115,0.25619433198380565,0.15402358643086483,0.5838866396761133,0.13621871922782405,0.9080814898137732,0.028867176829199655,0.3368403949506312,0.10597915836205604,0.6513160854893139,0.08116321765361147
