seed,fold,ratio,method,classifier,condition,OA,macro_F1,kappa
43,3,1.000000,EMSC,rbf_svm,BandShift,0.605263,0.510494,0.500438
43,3,1.000000,Detrend,svm,Normal,0.868421,0.872857,0.834783
43,3,1.000000,Detrend,svm,BandShift,0.315789,0.143939,0.088561
43,3,1.000000,Detrend,rbf_svm,Normal,0.868421,0.900285,0.834495
43,3,1.000000,Detrend,rbf_svm,BandShift,0.342105,0.203120,0.211618
43,4,1.000000,USP,svm,Normal,1.000000,1.000000,1.000000
43,4,1.000000,USP,svm,BandShift,1.000000,1.000000,1.000000
43,4,1.000000,USP,rbf_svm,Normal,0.947368,0.953530,0.933216
43,4,1.000000,USP,rbf_svm,BandShift,0.947368,0.953530,0.933216
43,4,1.000000,SNV,svm,Normal,0.947368,0.950312,0.933740
43,4,1.000000,SNV,svm,BandShift,0.684211,0.578542,0.608919
43,4,1.000000,SNV,rbf_svm,Normal,0.947368,0.937229,0.932981
43,4,1.000000,SNV,rbf_svm,BandShift,0.368421,0.246392,0.156337
43,4,1.000000,SG1,svm,Normal,0.815789,0.751190,0.765225
43,4,1.000000,SG1,svm,BandShift,0.210526,0.057971,-0.066417
43,4,1.000000,SG1,rbf_svm,Normal,0.921053,0.865657,0.900437
43,4,1.000000,SG1,rbf_svm,BandShift,0.184211,0.111111,0.075353
43,4,1.000000,EMSC,svm,Normal,0.947368,0.925752,0.934142
43,4,1.000000,EMSC,svm,BandShift,0.763158,0.721825,0.707692
43,4,1.000000,EMSC,rbf_svm,Normal,0.921053,0.910611,0.899912
43,4,1.000000,EMSC,rbf_svm,BandShift,0.815789,0.689182,0.760791
43,4,1.000000,Detrend,svm,Normal,0.868421,0.822150,0.834639
43,4,1.000000,Detrend,svm,BandShift,0.315789,0.174501,0.158433
43,4,1.000000,Detrend,rbf_svm,Normal,0.894737,0.837198,0.866432
43,4,1.000000,Detrend,rbf_svm,BandShift,0.342105,0.215456,0.227642
44,0,1.000000,USP,svm,Normal,0.948718,0.917092,0.934673
44,0,1.000000,USP,svm,BandShift,0.948718,0.917092,0.934673
44,0,1.000000,USP,rbf_svm,Normal,0.923077,0.887302,0.901515
44,0,1.000000,USP,rbf_svm,BandShift,0.923077,0.887302,0.901515
44,0,1.000000,SNV,svm,Normal,0.948718,0.938663,0.934837
44,0,1.000000,SNV,svm,BandShift,0.717949,0.581731,0.641903
44,0,1.000000,SNV,rbf_svm,Normal,0.923077,0.905000,0.900847
44,0,1.000000,SNV,rbf_svm,BandShift,0.384615,0.232488,0.156757
44,0,1.000000,SG1,svm,Normal,0.794872,0.738333,0.738693
44,0,1.000000,SG1,svm,BandShift,0.282051,0.073333,0.000000
44,0,1.000000,SG1,rbf_svm,Normal,0.820513,0.840016,0.772120
44,0,1.000000,SG1,rbf_svm,BandShift,0.230769,0.126068,0.097222
44,0,1.000000,EMSC,svm,Normal,0.948718,0.938663,0.934837
44,0,1.000000,EMSC,svm,BandShift,0.820513,0.802104,0.775862
44,0,1.000000,EMSC,rbf_svm,Normal,0.923077,0.913502,0.901763
44,0,1.000000,EMSC,rbf_svm,BandShift,0.820513,0.672645,0.764452
44,0,1.000000,Detrend,svm,Normal,0.846154,0.817359,0.804511
44,0,1.000000,Detrend,svm,BandShift,0.307692,0.127329,0.063167
44,0,1.000000,Detrend,rbf_svm,Normal,0.820513,0.813918,0.771739
44,0,1.000000,Detrend,rbf_svm,BandShift,0.358974,0.202409,0.218123
44,1,1.000000,USP,svm,Normal,1.000000,1.000000,1.000000
44,1,1.000000,USP,svm,BandShift,1.000000,1.000000,1.000000
44,1,1.000000,USP,rbf_svm,Normal,0.974359,0.978408,0.967980
44,1,1.000000,USP,rbf_svm,BandShift,0.974359,0.978408,0.967980
44,1,1.000000,SNV,svm,Normal,0.974359,0.976912,0.968033
44,1,1.000000,SNV,svm,BandShift,0.820513,0.705672,0.777506
44,1,1.000000,SNV,rbf_svm,Normal,1.000000,1.000000,1.000000
44,1,1.000000,SNV,rbf_svm,BandShift,0.512821,0.397835,0.343667
44,1,1.000000,SG1,svm,Normal,0.923077,0.894697,0.902743
44,1,1.000000,SG1,svm,BandShift,0.230769,0.062500,-0.055957
44,1,1.000000,SG1,rbf_svm,Normal,1.000000,1.000000,1.000000
44,1,1.000000,SG1,rbf_svm,BandShift,0.153846,0.067460,0.021293
44,1,1.000000,EMSC,svm,Normal,0.948718,0.946662,0.936378
44,1,1.000000,EMSC,svm,BandShift,0.769231,0.693044,0.713469
44,1,1.000000,EMSC,rbf_svm,Normal,0.974359,0.978408,0.967980
44,1,1.000000,EMSC,rbf_svm,BandShift,0.820513,0.692693,0.767462
44,1,1.000000,Detrend,svm,Normal,0.923077,0.915902,0.903146
44,1,1.000000,Detrend,svm,BandShift,0.230769,0.108621,0.054927
44,1,1.000000,Detrend,rbf_svm,Normal,0.974359,0.984127,0.967901
44,1,1.000000,Detrend,rbf_svm,BandShift,0.358974,0.218634,0.232283
44,2,1.000000,USP,svm,Normal,0.974359,0.979243,0.968007
44,2,1.000000,USP,svm,BandShift,0.974359,0.979243,0.968007
44,2,1.000000,USP,rbf_svm,Normal,0.974359,0.979243,0.968007
44,2,1.000000,USP,rbf_svm,BandShift,0.974359,0.979243,0.968007
44,2,1.000000,SNV,svm,Normal,0.897436,0.883211,0.872236
44,2,1.000000,SNV,svm,BandShift,0.641026,0.583506,0.560740
44,2,1.000000,SNV,rbf_svm,Normal,0.923077,0.936843,0.903545
44,2,1.000000,SNV,rbf_svm,BandShift,0.333333,0.171627,0.081522
44,2,1.000000,SG1,svm,Normal,0.794872,0.759921,0.739348
44,2,1.000000,SG1,svm,BandShift,0.358974,0.194405,0.218123
44,2,1.000000,SG1,rbf_svm,Normal,0.692308,0.690977,0.611296
44,2,1.000000,SG1,rbf_svm,BandShift,0.230769,0.131624,0.097918
44,2,1.000000,EMSC,svm,Normal,0.923077,0.933963,0.904878
44,2,1.000000,EMSC,svm,BandShift,0.589744,0.596018,0.514019
44,2,1.000000,EMSC,rbf_svm,Normal,0.923077,0.922780,0.905032
44,2,1.000000,EMSC,rbf_svm,BandShift,0.487179,0.414204,0.321149
44,2,1.000000,Detrend,svm,Normal,0.846154,0.829365,0.804348
44,2,1.000000,Detrend,svm,BandShift,0.589744,0.403351,0.476949
44,2,1.000000,Detrend,rbf_svm,Normal,0.743590,0.736556,0.677152
44,2,1.000000,Detrend,rbf_svm,BandShift,0.384615,0.248214,0.247588
44,3,1.000000,USP,svm,Normal,0.947368,0.944851,0.934313
44,3,1.000000,USP,svm,BandShift,0.947368,0.944851,0.934313
44,3,1.000000,USP,rbf_svm,Normal,0.947368,0.944851,0.934313
44,3,1.000000,USP,rbf_svm,BandShift,0.947368,0.944851,0.934313
44,3,1.000000,SNV,svm,Normal,0.947368,0.944851,0.934313
44,3,1.000000,SNV,svm,BandShift,0.710526,0.599179,0.644558
44,3,1.000000,SNV,rbf_svm,Normal,0.921053,0.924663,0.901724
44,3,1.000000,SNV,rbf_svm,BandShift,0.421053,0.280303,0.207583
