condition,method,repeat,seed,preprocess,variant,classifier,OA,macro_F1,kappa
BandShift,SNV,5,47,SNV,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SNV,5,47,SNV,A2_noPostSNV,rf,0.833333,0.535948,0.619048
BandShift,SNV,5,47,SNV,A2_noPostSNV,rf,0.750000,0.482143,0.470588
Normal,SG1,5,47,SG1,A2_noPostSNV,svm,0.833333,0.577381,0.647059
BandShift,SG1,5,47,SG1,A2_noPostSNV,svm,0.333333,0.227920,0.085714
Normal,SG1,5,47,SG1,A2_noPostSNV,rbf_svm,0.750000,0.507937,0.538462
BandShift,SG1,5,47,SG1,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SG1,5,47,SG1,A2_noPostSNV,rf,0.916667,0.619048,0.823529
BandShift,SG1,5,47,SG1,A2_noPostSNV,rf,0.833333,0.555556,0.657143
Normal,EMSC,5,47,EMSC,A2_noPostSNV,svm,0.750000,0.535714,0.550000
BandShift,EMSC,5,47,EMSC,A2_noPostSNV,svm,0.750000,0.482143,0.470588
Normal,EMSC,5,47,EMSC,A2_noPostSNV,rbf_svm,0.750000,0.496732,0.428571
BandShift,EMSC,5,47,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.266667,0.000000
Normal,EMSC,5,47,EMSC,A2_noPostSNV,rf,0.916667,0.619048,0.823529
BandShift,EMSC,5,47,EMSC,A2_noPostSNV,rf,0.750000,0.429630,0.379310
Normal,Detrend,5,47,Detrend,A2_noPostSNV,svm,0.833333,0.561111,0.671233
BandShift,Detrend,5,47,Detrend,A2_noPostSNV,svm,0.583333,0.259259,0.000000
Normal,Detrend,5,47,Detrend,A2_noPostSNV,rbf_svm,0.750000,0.507937,0.538462
BandShift,Detrend,5,47,Detrend,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,Detrend,5,47,Detrend,A2_noPostSNV,rf,0.833333,0.535948,0.619048
BandShift,Detrend,5,47,Detrend,A2_noPostSNV,rf,0.833333,0.561111,0.671233
Normal,USP,6,48,none,A_postSNV,svm,0.750000,0.811966,0.576471
BandShift,USP,6,48,none,A_postSNV,svm,0.500000,0.348485,0.225806
Normal,USP,6,48,none,A_postSNV,rbf_svm,0.666667,0.755556,0.466667
BandShift,USP,6,48,none,A_postSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,USP,6,48,none,A_postSNV,rf,0.833333,0.869048,0.700000
BandShift,USP,6,48,none,A_postSNV,rf,0.666667,0.456410,0.421687
Normal,SNV,6,48,SNV,A2_noPostSNV,svm,0.583333,0.592593,0.347826
BandShift,SNV,6,48,SNV,A2_noPostSNV,svm,0.250000,0.300000,0.068966
Normal,SNV,6,48,SNV,A2_noPostSNV,rbf_svm,0.750000,0.811966,0.576471
BandShift,SNV,6,48,SNV,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SNV,6,48,SNV,A2_noPostSNV,rf,0.583333,0.388889,0.178082
BandShift,SNV,6,48,SNV,A2_noPostSNV,rf,0.833333,0.869048,0.700000
Normal,SG1,6,48,SG1,A2_noPostSNV,svm,0.666667,0.600000,0.376623
BandShift,SG1,6,48,SG1,A2_noPostSNV,svm,0.166667,0.227273,0.024390
Normal,SG1,6,48,SG1,A2_noPostSNV,rbf_svm,0.583333,0.386243,0.230769
BandShift,SG1,6,48,SG1,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SG1,6,48,SG1,A2_noPostSNV,rf,0.833333,0.869048,0.700000
BandShift,SG1,6,48,SG1,A2_noPostSNV,rf,0.500000,0.472222,0.294118
Normal,EMSC,6,48,EMSC,A2_noPostSNV,svm,0.666667,0.645299,0.448276
BandShift,EMSC,6,48,EMSC,A2_noPostSNV,svm,0.333333,0.407407,0.206612
Normal,EMSC,6,48,EMSC,A2_noPostSNV,rbf_svm,0.750000,0.790476,0.520000
BandShift,EMSC,6,48,EMSC,A2_noPostSNV,rbf_svm,0.666667,0.266667,0.000000
Normal,EMSC,6,48,EMSC,A2_noPostSNV,rf,0.666667,0.460317,0.384615
BandShift,EMSC,6,48,EMSC,A2_noPostSNV,rf,0.916667,0.913725,0.815385
Normal,Detrend,6,48,Detrend,A2_noPostSNV,svm,0.750000,0.698413,0.560976
BandShift,Detrend,6,48,Detrend,A2_noPostSNV,svm,0.166667,0.193939,0.062500
Normal,Detrend,6,48,Detrend,A2_noPostSNV,rbf_svm,0.750000,0.507937,0.538462
BandShift,Detrend,6,48,Detrend,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,Detrend,6,48,Detrend,A2_noPostSNV,rf,0.666667,0.440476,0.294118
BandShift,Detrend,6,48,Detrend,A2_noPostSNV,rf,0.750000,0.516667,0.506849
Normal,USP,7,49,none,A_postSNV,svm,0.833333,0.869048,0.700000
BandShift,USP,7,49,none,A_postSNV,svm,0.750000,0.728632,0.586207
Normal,USP,7,49,none,A_postSNV,rbf_svm,0.833333,0.869048,0.700000
BandShift,USP,7,49,none,A_postSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,USP,7,49,none,A_postSNV,rf,1.000000,1.000000,1.000000
BandShift,USP,7,49,none,A_postSNV,rf,0.666667,0.460317,0.384615
Normal,SNV,7,49,SNV,A2_noPostSNV,svm,0.833333,0.869048,0.700000
BandShift,SNV,7,49,SNV,A2_noPostSNV,svm,0.250000,0.301347,0.121951
Normal,SNV,7,49,SNV,A2_noPostSNV,rbf_svm,0.750000,0.507937,0.538462
BandShift,SNV,7,49,SNV,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SNV,7,49,SNV,A2_noPostSNV,rf,0.833333,0.577381,0.647059
BandShift,SNV,7,49,SNV,A2_noPostSNV,rf,0.750000,0.728632,0.586207
Normal,SG1,7,49,SG1,A2_noPostSNV,svm,0.666667,0.645299,0.448276
BandShift,SG1,7,49,SG1,A2_noPostSNV,svm,0.083333,0.051282,0.000000
Normal,SG1,7,49,SG1,A2_noPostSNV,rbf_svm,0.666667,0.456410,0.421687
BandShift,SG1,7,49,SG1,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,SG1,7,49,SG1,A2_noPostSNV,rf,0.750000,0.516667,0.506849
BandShift,SG1,7,49,SG1,A2_noPostSNV,rf,0.833333,0.785714,0.714286
Normal,EMSC,7,49,EMSC,A2_noPostSNV,svm,1.000000,1.000000,1.000000
BandShift,EMSC,7,49,EMSC,A2_noPostSNV,svm,0.166667,0.193939,0.062500
Normal,EMSC,7,49,EMSC,A2_noPostSNV,rbf_svm,0.833333,0.847222,0.657143
BandShift,EMSC,7,49,EMSC,A2_noPostSNV,rbf_svm,0.250000,0.133333,0.000000
Normal,EMSC,7,49,EMSC,A2_noPostSNV,rf,0.833333,0.562963,0.586207
BandShift,EMSC,7,49,EMSC,A2_noPostSNV,rf,0.750000,0.708791,0.595506
Normal,Detrend,7,49,Detrend,A2_noPostSNV,svm,0.750000,0.516667,0.506849
BandShift,Detrend,7,49,Detrend,A2_noPostSNV,svm,0.166667,0.127273,-0.016949
