phase,condition,method,repeat,seed,fold,preprocess,variant,classifier,OA,macro_F1,kappa
1,Pooled+BandShift,EMSC,6,43,1.000000,EMSC,A2_noPostSNV,svm,0.622222,0.614489,0.546263
1,Pooled,EMSC,6,43,1.000000,EMSC,A2_noPostSNV,rbf_svm,0.600000,0.624670,0.520710
1,Pooled+BandShift,EMSC,6,43,1.000000,EMSC,A2_noPostSNV,rbf_svm,0.577778,0.581713,0.492582
1,Pooled,Detrend,6,43,1.000000,Detrend,A2_noPostSNV,svm,0.777778,0.772753,0.732938
1,Pooled+BandShift,Detrend,6,43,1.000000,Detrend,A2_noPostSNV,svm,0.733333,0.736411,0.680473
1,Pooled,Detrend,6,43,1.000000,Detrend,A2_noPostSNV,rbf_svm,0.688889,0.687429,0.626556
1,Pooled+BandShift,Detrend,6,43,1.000000,Detrend,A2_noPostSNV,rbf_svm,0.644444,0.599662,0.572447
1,Pooled,USP,7,43,2.000000,none,A_postSNV,svm,0.681818,0.701221,0.618812
1,Pooled+BandShift,USP,7,43,2.000000,none,A_postSNV,svm,0.704545,0.704854,0.645601
1,Pooled,USP,7,43,2.000000,none,A_postSNV,rbf_svm,0.477273,0.474270,0.373762
1,Pooled+BandShift,USP,7,43,2.000000,none,A_postSNV,rbf_svm,0.477273,0.469258,0.373375
1,Pooled,SNV,7,43,2.000000,SNV,A2_noPostSNV,svm,0.659091,0.664590,0.591331
1,Pooled+BandShift,SNV,7,43,2.000000,SNV,A2_noPostSNV,svm,0.613636,0.627195,0.537129
1,Pooled,SNV,7,43,2.000000,SNV,A2_noPostSNV,rbf_svm,0.613636,0.612139,0.537701
1,Pooled+BandShift,SNV,7,43,2.000000,SNV,A2_noPostSNV,rbf_svm,0.568182,0.561957,0.482673
1,Pooled,SG1,7,43,2.000000,SG1,A2_noPostSNV,svm,0.681818,0.694872,0.618812
1,Pooled+BandShift,SG1,7,43,2.000000,SG1,A2_noPostSNV,svm,0.318182,0.295455,0.186691
1,Pooled,SG1,7,43,2.000000,SG1,A2_noPostSNV,rbf_svm,0.568182,0.582060,0.482993
1,Pooled+BandShift,SG1,7,43,2.000000,SG1,A2_noPostSNV,rbf_svm,0.340909,0.295613,0.215734
1,Pooled,EMSC,7,43,2.000000,EMSC,A2_noPostSNV,svm,0.636364,0.633316,0.564626
1,Pooled+BandShift,EMSC,7,43,2.000000,EMSC,A2_noPostSNV,svm,0.590909,0.599505,0.509598
1,Pooled,EMSC,7,43,2.000000,EMSC,A2_noPostSNV,rbf_svm,0.590909,0.601192,0.509901
1,Pooled+BandShift,EMSC,7,43,2.000000,EMSC,A2_noPostSNV,rbf_svm,0.568182,0.595930,0.483632
1,Pooled,Detrend,7,43,2.000000,Detrend,A2_noPostSNV,svm,0.659091,0.654332,0.590825
1,Pooled+BandShift,Detrend,7,43,2.000000,Detrend,A2_noPostSNV,svm,0.522727,0.526176,0.426799
1,Pooled,Detrend,7,43,2.000000,Detrend,A2_noPostSNV,rbf_svm,0.522727,0.506401,0.428571
1,Pooled+BandShift,Detrend,7,43,2.000000,Detrend,A2_noPostSNV,rbf_svm,0.431818,0.420047,0.318463
1,Pooled,USP,8,43,3.000000,none,A_postSNV,svm,0.704545,0.698064,0.645601
1,Pooled+BandShift,USP,8,43,3.000000,none,A_postSNV,svm,0.704545,0.707537,0.644720
1,Pooled,USP,8,43,3.000000,none,A_postSNV,rbf_svm,0.681818,0.675495,0.618576
1,Pooled+BandShift,USP,8,43,3.000000,none,A_postSNV,rbf_svm,0.681818,0.675495,0.618576
1,Pooled,SNV,8,43,3.000000,SNV,A2_noPostSNV,svm,0.704545,0.703555,0.645381
1,Pooled+BandShift,SNV,8,43,3.000000,SNV,A2_noPostSNV,svm,0.659091,0.652047,0.588785
1,Pooled,SNV,8,43,3.000000,SNV,A2_noPostSNV,rbf_svm,0.750000,0.749704,0.700310
1,Pooled+BandShift,SNV,8,43,3.000000,SNV,A2_noPostSNV,rbf_svm,0.659091,0.659548,0.590317
1,Pooled,SG1,8,43,3.000000,SG1,A2_noPostSNV,svm,0.681818,0.669547,0.618576
1,Pooled+BandShift,SG1,8,43,3.000000,SG1,A2_noPostSNV,svm,0.477273,0.437518,0.375309
1,Pooled,SG1,8,43,3.000000,SG1,A2_noPostSNV,rbf_svm,0.704545,0.702950,0.646259
1,Pooled+BandShift,SG1,8,43,3.000000,SG1,A2_noPostSNV,rbf_svm,0.454545,0.421267,0.347746
1,Pooled,EMSC,8,43,3.000000,EMSC,A2_noPostSNV,svm,0.704545,0.701023,0.645601
1,Pooled+BandShift,EMSC,8,43,3.000000,EMSC,A2_noPostSNV,svm,0.568182,0.570779,0.483632
1,Pooled,EMSC,8,43,3.000000,EMSC,A2_noPostSNV,rbf_svm,0.659091,0.647727,0.592089
1,Pooled+BandShift,EMSC,8,43,3.000000,EMSC,A2_noPostSNV,rbf_svm,0.590909,0.583616,0.510809
1,Pooled,Detrend,8,43,3.000000,Detrend,A2_noPostSNV,svm,0.704545,0.691528,0.644941
1,Pooled+BandShift,Detrend,8,43,3.000000,Detrend,A2_noPostSNV,svm,0.613636,0.584850,0.537701
1,Pooled,Detrend,8,43,3.000000,Detrend,A2_noPostSNV,rbf_svm,0.704545,0.693190,0.646259
1,Pooled+BandShift,Detrend,8,43,3.000000,Detrend,A2_noPostSNV,rbf_svm,0.545455,0.520191,0.456455
1,Pooled,USP,9,43,4.000000,none,A_postSNV,svm,0.613636,0.632756,0.537129
1,Pooled+BandShift,USP,9,43,4.000000,none,A_postSNV,svm,0.636364,0.639141,0.564626
1,Pooled,USP,9,43,4.000000,none,A_postSNV,rbf_svm,0.545455,0.547250,0.454771
1,Pooled+BandShift,USP,9,43,4.000000,none,A_postSNV,rbf_svm,0.545455,0.547250,0.454771
1,Pooled,SNV,9,43,4.000000,SNV,A2_noPostSNV,svm,0.704545,0.713067,0.646477
1,Pooled+BandShift,SNV,9,43,4.000000,SNV,A2_noPostSNV,svm,0.659091,0.664695,0.591584
1,Pooled,SNV,9,43,4.000000,SNV,A2_noPostSNV,rbf_svm,0.613636,0.618568,0.537986
1,Pooled+BandShift,SNV,9,43,4.000000,SNV,A2_noPostSNV,rbf_svm,0.590909,0.612738,0.510809
1,Pooled,SG1,9,43,4.000000,SG1,A2_noPostSNV,svm,0.681818,0.680728,0.619283
1,Pooled+BandShift,SG1,9,43,4.000000,SG1,A2_noPostSNV,svm,0.409091,0.365608,0.295132
1,Pooled,SG1,9,43,4.000000,SG1,A2_noPostSNV,rbf_svm,0.568182,0.578691,0.483632
1,Pooled+BandShift,SG1,9,43,4.000000,SG1,A2_noPostSNV,rbf_svm,0.409091,0.386027,0.293827
1,Pooled,EMSC,9,43,4.000000,EMSC,A2_noPostSNV,svm,0.636364,0.659811,0.563817
1,Pooled+BandShift,EMSC,9,43,4.000000,EMSC,A2_noPostSNV,svm,0.522727,0.508913,0.430684
1,Pooled,EMSC,9,43,4.000000,EMSC,A2_noPostSNV,rbf_svm,0.636364,0.654167,0.564626
1,Pooled+BandShift,EMSC,9,43,4.000000,EMSC,A2_noPostSNV,rbf_svm,0.590909,0.598960,0.510809
1,Pooled,Detrend,9,43,4.000000,Detrend,A2_noPostSNV,svm,0.727273,0.715385,0.673671
1,Pooled+BandShift,Detrend,9,43,4.000000,Detrend,A2_noPostSNV,svm,0.727273,0.731206,0.672660
1,Pooled,Detrend,9,43,4.000000,Detrend,A2_noPostSNV,rbf_svm,0.590909,0.597045,0.510507
1,Pooled+BandShift,Detrend,9,43,4.000000,Detrend,A2_noPostSNV,rbf_svm,0.590909,0.591814,0.509901
1,Pooled,USP,10,44,0.000000,none,A_postSNV,svm,0.666667,0.666997,0.601064
1,Pooled+BandShift,USP,10,44,0.000000,none,A_postSNV,svm,0.644444,0.651756,0.575722
1,Pooled,USP,10,44,0.000000,none,A_postSNV,rbf_svm,0.600000,0.609359,0.521842
1,Pooled+BandShift,USP,10,44,0.000000,none,A_postSNV,rbf_svm,0.600000,0.609359,0.521842
1,Pooled,SNV,10,44,0.000000,SNV,A2_noPostSNV,svm,0.755556,0.758815,0.706580
1,Pooled+BandShift,SNV,10,44,0.000000,SNV,A2_noPostSNV,svm,0.711111,0.722482,0.654664
1,Pooled,SNV,10,44,0.000000,SNV,A2_noPostSNV,rbf_svm,0.644444,0.653114,0.573207
1,Pooled+BandShift,SNV,10,44,0.000000,SNV,A2_noPostSNV,rbf_svm,0.711111,0.712482,0.652613
1,Pooled,SG1,10,44,0.000000,SG1,A2_noPostSNV,svm,0.755556,0.757528,0.706927
1,Pooled+BandShift,SG1,10,44,0.000000,SG1,A2_noPostSNV,svm,0.444444,0.394872,0.331948
1,Pooled,SG1,10,44,0.000000,SG1,A2_noPostSNV,rbf_svm,0.666667,0.668987,0.600118
1,Pooled+BandShift,SG1,10,44,0.000000,SG1,A2_noPostSNV,rbf_svm,0.444444,0.452938,0.335106
